,Ethan NRG,mada NRG,s0m NRG,brawk NRG,FiNESSE NRG
leaf G2,1 2 -1,5 0 +5,2 2 +0,5 2 +3,3 2 +1
trent G2,1 3 -2,2 1 +1,3 1 +2,1 2 -1,3 0 +3
JonahP G2,1 1 +0,1 0 +1,3 1 +2,1 2 -1,1 1 +0
valyn G2,1 0 +1,2 2 +0,2 2 +0,1 0 +1,1 2 -1
jawgemo G2,9 1 +8,4 3 +1,3 1 +2,5 2 +3,6 0 +6
