,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
valyn G2,,5 Round 2 mada Ethan Round 4 mada brawk Round 7 s0m Ethan Round 8 s0m brawk Round 15 Ethan brawk,,,,,,,,,45,1,0
jawgemo G2,,1 Round 5 Ethan brawk,2 Round 3 FiNESSE s0m brawk Round 14 mada s0m FiNESSE,1 Round 6 s0m Ethan brawk FiNESSE,,,,,,,59,1,0
JonahP G2,,1 Round 14 brawk Ethan,1 Round 4 FiNESSE s0m Ethan,,,,,,,,39,6,0
leaf G2,,3 Round 3 mada Ethan Round 5 FiNESSE mada Round 9 s0m mada,2 Round 10 Ethan mada FiNESSE Round 12 FiNESSE Ethan mada,,,1 Round 10 FiNESSE,,,,,41,0,0
trent G2,,4 Round 7 brawk FiNESSE Round 8 Ethan FiNESSE Round 15 mada s0m Round 19 mada FiNESSE,,,,1 Round 8 FiNESSE,1 Round 9 Ethan brawk,,,,51,3,1
FiNESSE NRG,,,,1 Round 15 leaf JonahP valyn trent,,1 Round 15 trent,,,,,53,0,0
brawk NRG,,1 Round 9 jawgemo trent brawk,1 Round 19 valyn trent jawgemo,,,,,,,,66,2,0
s0m NRG,,2 Round 8 jawgemo leaf Round 12 trent valyn,1 Round 1 trent leaf valyn,,,,,,,,47,2,0
mada NRG,,1 Round 1 jawgemo JonahP,2 Round 10 trent valyn jawgemo Round 18 JonahP leaf trent,,,,,,,,53,0,1
Ethan NRG,,3 Round 6 leaf JonahP Round 9 JonahP leaf Round 16 JonahP leaf,1 Round 11 valyn jawgemo trent,,,,,,,,60,1,0
