,Ethan NRG,mada NRG,s0m NRG,brawk NRG,FiNESSE NRG
leaf G2,,2 0 +2,1 0 +1,1 0 +1,0 1 -1
trent G2,,1 0 +1,,,
JonahP G2,,,1 0 +1,1 0 +1,
valyn G2,,0 1 -1,1 0 +1,,0 1 -1
jawgemo G2,,1 1 +0,1 0 +1,,
