,Ethan NRG,mada NRG,s0m NRG,brawk NRG,FiNESSE NRG
leaf G2,4 4 +0,6 2 +4,1 3 -2,1 0 +1,3 2 +1
trent G2,2 1 +1,3 3 +0,3 2 +1,2 2 +0,3 3 +0
JonahP G2,2 5 -3,2 2 +0,2 1 +1,2 1 +1,4 3 +1
valyn G2,3 1 +2,3 4 -1,3 5 -2,3 4 -1,0 2 -2
jawgemo G2,3 2 +1,2 4 -2,6 2 +4,4 5 -1,4 0 +4
