,bang SEN,N4RRATE SEN,Zellsis SEN,zekken SEN,johnqt SEN
Verno MIBR,0 1 -1,,,1 2 -1,
artzin MIBR,,0 1 -1,3 2 +1,0 2 -2,0 1 -1
xenom MIBR,,1 1 +0,,3 3 +0,
aspas MIBR,3 5 -2,1 0 +1,1 0 +1,3 2 +1,2 1 +1
cortezia MIBR,1 1 +0,,,0 3 -3,
