,bang SEN,N4RRATE SEN,Zellsis SEN,zekken SEN,johnqt SEN
Verno MIBR,,,,0 2 -2,
artzin MIBR,,,1 2 -1,0 1 -1,0 1 -1
xenom MIBR,,0 1 -1,,3 1 +2,
aspas MIBR,1 2 -1,,1 0 +1,0 1 -1,
cortezia MIBR,0 1 -1,,,0 2 -2,
