,bang SEN,N4RRATE SEN,Zellsis SEN,zekken SEN,johnqt SEN
Verno MIBR,0 1 -1,,,1 0 +1,
artzin MIBR,,0 1 -1,2 0 +2,0 1 -1,
xenom MIBR,,1 0 +1,,0 2 -2,
aspas MIBR,2 3 -1,1 0 +1,,3 1 +2,2 1 +1
cortezia MIBR,1 0 +1,,,0 1 -1,
