,yokam GE,Kr1stal GE,UdoTan GE,Papi GE,kellyS GE
free1ng DRX,,2 0 +2,,,
Estrella DRX,2 1 +1,1 0 +1,1 0 +1,,
MaKo DRX,1 0 +1,0 1 -1,,1 0 +1,
HYUNMIN DRX,1 1 +0,1 0 +1,,1 0 +1,0 1 -1
Flashback DRX,,,,,1 0 +1
