,yokam GE,Kr1stal GE,UdoTan GE,Papi GE,kellyS GE
free1ng DRX,3 0 +3,4 1 +3,0 3 -3,1 2 -1,2 2 +0
Estrella DRX,3 1 +2,2 1 +1,4 1 +3,5 1 +4,1 3 -2
MaKo DRX,4 0 +4,2 2 +0,1 2 -1,1 2 -1,2 0 +2
HYUNMIN DRX,1 2 -1,5 0 +5,2 2 +0,3 1 +2,4 4 +0
Flashback DRX,4 1 +3,0 2 -2,5 1 +4,2 1 +1,5 2 +3
