,yokam GE,Kr1stal GE,UdoTan GE,Papi GE,kellyS GE
free1ng DRX,8 3 +5,8 4 +4,6 5 +1,3 5 -2,5 5 +0
Estrella DRX,6 3 +3,7 5 +2,9 2 +7,12 6 +6,3 6 -3
MaKo DRX,6 1 +5,4 5 -1,5 9 -4,1 3 -2,5 2 +3
HYUNMIN DRX,6 7 -1,6 5 +1,4 5 -1,8 4 +4,6 5 +1
Flashback DRX,10 5 +5,5 5 +0,6 4 +2,6 4 +2,14 5 +9
