,yokam GE,Kr1stal GE,UdoTan GE,Papi GE,kellyS GE
free1ng DRX,5 3 +2,4 3 +1,6 2 +4,2 3 -1,3 3 +0
Estrella DRX,3 2 +1,5 4 +1,5 1 +4,7 5 +2,2 3 -1
MaKo DRX,2 1 +1,2 3 -1,4 7 -3,0 1 -1,3 2 +1
HYUNMIN DRX,5 5 +0,1 5 -4,2 3 -1,5 3 +2,2 1 +1
Flashback DRX,6 4 +2,5 3 +2,1 3 -2,4 3 +1,9 3 +6
