,yokam GE,Kr1stal GE,UdoTan GE,Papi GE,kellyS GE
free1ng DRX,,,1 0 +1,,1 0 +1
Estrella DRX,,0 1 -1,,2 0 +2,
MaKo DRX,0 1 -1,1 0 +1,0 2 -2,,0 2 -2
HYUNMIN DRX,2 0 +2,,,2 0 +2,
Flashback DRX,1 0 +1,2 1 +1,,,3 1 +2
