,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
free1ng DRX,,2 Round 9 yokam Papi Round 10 yokam Kr1stal,1 Round 4 Kr1stal yokam kellyS,,,,,,,,49,2,0
MaKo DRX,,1 Round 13 kellyS Kr1stal,1 Round 16 yokam Kr1stal UdoTan,,,,,,,,55,3,0
Estrella DRX,,3 Round 11 yokam UdoTan Round 13 Papi yokam Round 15 Kr1stal UdoTan,1 Round 12 kellyS Papi UdoTan,,,,,,,,64,0,1
HYUNMIN DRX,,1 Round 6 Kr1stal kellyS,2 Round 7 Papi kellyS UdoTan Round 15 yokam kellyS Papi,,,,,,,,56,1,0
Flashback DRX,,3 Round 2 yokam kellyS Round 10 Papi kellyS Round 14 kellyS UdoTan,1 Round 6 Papi yokam UdoTan,,,1 Round 6 UdoTan,,,,,67,4,0
UdoTan GE,,3 Round 6 HYUNMIN free1ng Round 8 MaKo free1ng Round 12 HYUNMIN MaKo,,,,,,,,,44,1,0
Kr1stal GE,,1 Round 11 Flashback MaKo,1 Round 5 Estrella free1ng Flashback,,,,,,,,55,0,0
kellyS GE,,1 Round 10 free1ng HYUNMIN,1 Round 8 Flashback HYUNMIN Estrella,,,,,,,,57,0,1
Papi GE,,2 Round 11 HYUNMIN Estrella Round 14 MaKo Flashback,,,,1 Round 5 MaKo,,,,,34,0,0
yokam GE,,,,,,,,,,,25,0,0
