,Famouz BME,NcSlasher BME,dos9 BME,Shiro BME,BerserX BME
something PRX,1 2 -1,4 4 +0,3 5 -2,3 4 -1,3 4 -1
d4v41 PRX,2 6 -4,3 3 +0,0 5 -5,1 1 +0,2 2 +0
PatMen PRX,3 1 +2,3 8 -5,3 4 -1,2 2 +0,1 3 -2
f0rsakeN PRX,4 6 -2,2 1 +1,2 4 -2,6 1 +5,5 4 +1
Jinggg PRX,11 2 +9,4 4 +0,4 4 +0,2 1 +1,6 4 +2
