,Famouz BME,NcSlasher BME,dos9 BME,Shiro BME,BerserX BME
something PRX,8 12 -4,9 10 -1,9 5 +4,7 7 +0,8 11 -3
d4v41 PRX,8 20 -12,8 6 +2,4 7 -3,11 8 +3,5 4 +1
PatMen PRX,9 8 +1,11 18 -7,8 8 +0,9 6 +3,7 11 -4
f0rsakeN PRX,9 15 -6,7 5 +2,7 8 -1,13 10 +3,13 7 +6
Jinggg PRX,16 14 +2,8 8 +0,10 9 +1,5 7 -2,11 5 +6
