,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
ANGE1 NAVI,,3 Round 3 Less UNFAKE Round 8 Kicks Sayf Round 14 Less Sayf,,,,1 Round 1 UNFAKE,,,,,45,2,0
Shao NAVI,,2 Round 5 Derke Kicks Round 12 Kicks UNFAKE,,,,,,,,,35,2,0
Ruxic NAVI,,6 Round 2 Derke Sayf Round 4 Kicks Sayf Round 7 Less Kicks Round 9 UNFAKE Kicks Round 23 UNFAKE Derke Round 24 UNFAKE Less,1 Round 10 Less UNFAKE Sayf,1 Round 6 Derke Kicks UNFAKE Sayf,,,,,,,73,2,0
alexiiik NAVI,,3 Round 4 Less Derke Round 8 Derke UNFAKE Round 14 UNFAKE Kicks,,,,,,,,,47,1,2
hiro NAVI,,6 Round 1 Kicks Less Round 9 Less Sayf Round 12 Derke Sayf Round 15 Derke Kicks Round 16 Derke Kicks Round 19 Less Kicks,3 Round 3 Derke Kicks Sayf Round 11 Less Kicks UNFAKE Round 13 Sayf Kicks Derke,,,1 Round 24 Sayf,,,,,60,0,0
Sayf VIT,,2 Round 12 Ruxic Shao Round 23 Ruxic hiro,1 Round 19 alexiiik Shao hiro,,,1 Round 11 ANGE1,,1 Round 19 Shao ANGE1 hiro,,,67,0,1
UNFAKE VIT,,1 Round 24 Shao alexiiik,1 Round 16 alexiiik Shao Ruxic,,,,,,,,42,3,0
Derke VIT,,1 Round 11 Shao hiro,3 Round 1 Ruxic alexiiik hiro Round 7 Shao hiro Ruxic Round 17 ANGE1 Ruxic Shao,,,,,,,,53,1,0
Less VIT,,5 Round 2 hiro Ruxic Round 6 alexiiik hiro Round 18 alexiiik ANGE1 Round 20 alexiiik ANGE1 Round 21 alexiiik ANGE1,,,,,,,,,50,0,1
Kicks VIT,,3 Round 5 Ruxic ANGE1 Round 15 alexiiik ANGE1 Round 18 Ruxic Shao,2 Round 22 hiro Shao Ruxic Round 23 alexiiik Shao ANGE1,,,,,,,,57,1,1
