,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
TenZ SEN,,3 Round 12 heat Klaus Round 17 keznit Melser Round 24 Shyy keznit,1 Round 5 keznit heat Melser,,1 Round 20 Melser Klaus keznit Shyy heat,,,,,,63,1,0
Sacy SEN,,4 Round 3 Shyy keznit Round 14 keznit Melser Round 22 Shyy keznit Round 24 Klaus Melser,1 Round 8 keznit Klaus heat,,,,,,,,37,1,1
Zellsis SEN,,3 Round 4 Melser keznit Round 6 heat Klaus Round 11 keznit heat Zellsis,,,,,,,,,41,5,2
johnqt SEN,,3 Round 1 Klaus heat Round 4 Klaus Shyy Round 14 Klaus Shyy,,,,1 Round 24 heat,,,,,59,2,1
zekken SEN,,3 Round 13 keznit Klaus Round 22 Melser heat Round 23 keznit Melser,2 Round 9 Klaus heat keznit Round 11 Shyy Klaus Melser,,,,,,,,70,0,0
Melser KRÜ,,5 Round 1 zekken Zellsis Round 2 Sacy johnqt Round 9 Sacy zekken Melser Round 15 johnqt zekken Round 17 zekken Sacy,,,,1 Round 8 Sacy,,,,,51,1,0
keznit KRÜ,,3 Round 5 zekken johnqt Round 7 TenZ Zellsis Round 18 zekken johnqt,2 Round 1 Sacy TenZ johnqt Round 8 TenZ zekken Zellsis,,,,,,,,53,4,1
Klaus KRÜ,,1 Round 11 Sacy TenZ,,,,,,,,,39,2,0
heat KRÜ,,4 Round 2 Zellsis TenZ Round 4 Sacy TenZ Round 19 Zellsis Sacy Round 21 Zellsis johnqt,2 Round 23 zekken Zellsis johnqt Round 24 TenZ Sacy Zellsis,,,,,1 Round 23 zekken Zellsis johnqt,,,59,4,0
Shyy KRÜ,,2 Round 15 Sacy Zellsis Round 17 TenZ johnqt,,,,1 Round 19 johnqt,,,,,29,0,0
