,Melser KRÜ,heat KRÜ,keznit KRÜ,Shyy KRÜ,Klaus KRÜ
johnqt SEN,0 1 -1,1 0 +1,1 1 +0,,0 1 -1
zekken SEN,0 1 -1,0 1 -1,0 2 -2,2 1 +1,2 0 +2
Sacy SEN,,,0 1 -1,1 0 +1,1 0 +1
Zellsis SEN,1 0 +1,,,,0 1 -1
TenZ SEN,,2 0 +2,1 1 +0,,
