,Melser KRÜ,heat KRÜ,keznit KRÜ,Shyy KRÜ,Klaus KRÜ
johnqt SEN,2 4 -2,1 3 -2,3 2 +1,2 5 -3,3 2 +1
zekken SEN,2 3 -1,7 6 +1,2 7 -5,3 2 +1,5 1 +4
Sacy SEN,3 3 +0,2 3 -1,4 4 +0,4 1 +3,2 2 +0
Zellsis SEN,3 2 +1,3 1 +2,2 2 +0,2 5 -3,2 2 +0
TenZ SEN,3 3 +0,2 3 -1,5 5 +0,4 1 +3,4 1 +3
