,grubinho MKOI,sheydos MKOI,soulcas MKOI,Filu MKOI,flyuh MKOI
Kada M8,,,,2 1 +1,0 2 -2
Minny M8,3 0 +3,0 2 -2,2 0 +2,3 1 +2,3 1 +2
Click M8,2 0 +2,1 3 -2,1 3 -2,3 0 +3,2 1 +1
RobbieBk M8,1 0 +1,1 0 +1,,2 2 +0,
Zyppan M8,0 2 -2,,1 4 -3,3 3 +0,
