,grubinho MKOI,sheydos MKOI,soulcas MKOI,Filu MKOI,flyuh MKOI
Kada M8,4 2 +2,2 5 -3,2 3 -1,0 3 -3,3 0 +3
Minny M8,4 1 +3,2 4 -2,5 1 +4,7 1 +6,5 3 +2
Click M8,6 4 +2,3 1 +2,6 2 +4,4 1 +3,5 4 +1
RobbieBk M8,1 1 +0,1 1 +0,0 6 -6,3 3 +0,2 0 +2
Zyppan M8,2 5 -3,5 0 +5,4 3 +1,3 2 +1,2 5 -3
