,grubinho MKOI,sheydos MKOI,soulcas MKOI,Filu MKOI,flyuh MKOI
Kada M8,2 0 +2,2 1 +1,2 2 +0,7 3 +4,7 0 +7
Minny M8,3 2 +1,4 2 +2,3 0 +3,1 1 +0,2 1 +1
Click M8,5 3 +2,4 1 +3,4 2 +2,2 2 +0,2 1 +1
RobbieBk M8,1 0 +1,4 2 +2,3 0 +3,2 3 -1,1 1 +0
Zyppan M8,1 1 +0,0 1 -1,2 2 +0,2 3 -1,2 0 +2
