,grubinho MKOI,sheydos MKOI,soulcas MKOI,Filu MKOI,flyuh MKOI
Kada M8,,,,,
Minny M8,1 0 +1,0 1 -1,,2 0 +2,1 0 +1
Click M8,,,0 1 -1,2 0 +2,1 0 +1
RobbieBk M8,,,,1 1 +0,
Zyppan M8,0 2 -2,,1 2 -1,2 1 +1,
