,grubinho MKOI,sheydos MKOI,soulcas MKOI,Filu MKOI,flyuh MKOI
Kada M8,,,,,0 2 -2
Minny M8,,0 1 -1,1 0 +1,0 1 -1,1 1 +0
Click M8,2 0 +2,1 3 -2,0 2 -2,1 0 +1,1 1 +0
RobbieBk M8,,,,0 1 -1,
Zyppan M8,,,0 1 -1,,
