,grubinho MKOI,sheydos MKOI,soulcas MKOI,Filu MKOI,flyuh MKOI
Kada M8,4 1 +3,1 4 -3,2 2 +0,2 3 -1,1 6 -5
Minny M8,2 2 +0,5 1 +4,5 3 +2,2 4 -2,2 4 -2
Click M8,5 3 +2,3 3 +0,0 4 -4,2 5 -3,5 2 +3
RobbieBk M8,1 2 -1,1 3 -2,1 6 -5,4 2 +2,0 5 -5
Zyppan M8,0 3 -3,2 2 +0,3 5 -2,3 3 +0,3 1 +2
