,grubinho MKOI,sheydos MKOI,soulcas MKOI,Filu MKOI,flyuh MKOI
Kada M8,10 3 +7,5 10 -5,6 7 -1,9 9 +0,11 6 +5
Minny M8,9 5 +4,11 7 +4,13 4 +9,10 6 +4,9 8 +1
Click M8,16 10 +6,10 5 +5,10 8 +2,8 8 +0,12 7 +5
RobbieBk M8,3 3 +0,6 6 +0,4 12 -8,9 8 +1,3 6 -3
Zyppan M8,3 9 -6,7 3 +4,9 10 -1,8 8 +0,7 6 +1
