,havoc FUR,mwzera FUR,nzr FUR,xand FUR,Khalil FUR
Palla MIBR,5 8 -3,6 8 -2,7 3 +4,6 6 +0,3 11 -8
rich MIBR,7 6 +1,5 9 -4,8 5 +3,4 9 -5,7 7 +0
artzin MIBR,6 7 -1,9 7 +2,7 3 +4,10 9 +1,10 5 +5
mazin MIBR,6 7 -1,5 5 +0,1 7 -6,1 2 -1,4 13 -9
liazzi MIBR,2 7 -5,5 9 -4,3 5 -2,9 2 +7,2 11 -9
