,havoc FUR,mwzera FUR,nzr FUR,xand FUR,Khalil FUR
Palla MIBR,3 6 -3,3 4 -1,3 0 +3,2 4 -2,1 5 -4
rich MIBR,4 4 +0,3 4 -1,3 2 +1,2 6 -4,4 3 +1
artzin MIBR,3 6 -3,5 3 +2,5 1 +4,5 5 +0,6 1 +5
mazin MIBR,2 4 -2,5 4 +1,0 3 -3,1 1 +0,1 7 -6
liazzi MIBR,2 3 -1,2 4 -2,2 1 +1,7 2 +5,2 7 -5
