,havoc FUR,mwzera FUR,nzr FUR,xand FUR,Khalil FUR
Palla MIBR,2 2 +0,3 4 -1,4 3 +1,4 2 +2,2 6 -4
rich MIBR,3 2 +1,2 5 -3,5 3 +2,2 3 -1,3 4 -1
artzin MIBR,3 1 +2,4 4 +0,2 2 +0,5 4 +1,4 4 +0
mazin MIBR,4 3 +1,0 1 -1,1 4 -3,0 1 -1,3 6 -3
liazzi MIBR,0 4 -4,3 5 -2,1 4 -3,2 0 +2,0 4 -4
