,havoc FUR,mwzera FUR,nzr FUR,xand FUR,Khalil FUR
Palla MIBR,,0 3 -3,1 0 +1,1 0 +1,
rich MIBR,1 1 +0,0 2 -2,,,1 1 +0
artzin MIBR,2 0 +2,,0 1 -1,2 0 +2,
mazin MIBR,1 1 +0,,,,
liazzi MIBR,0 1 -1,,,,0 1 -1
