,havoc FUR,mwzera FUR,nzr FUR,xand FUR,Khalil FUR
Palla MIBR,1 1 +0,2 1 +1,,0 3 -3,0 1 -1
rich MIBR,1 1 +0,1 2 -1,,,
artzin MIBR,0 2 -2,1 0 +1,1 0 +1,0 1 -1,
mazin MIBR,1 0 +1,1 0 +1,,1 0 +1,
liazzi MIBR,,,,,0 1 -1
