,havoc FUR,mwzera FUR,nzr FUR,xand FUR,Khalil FUR
Palla MIBR,,0 2 -2,,2 0 +2,
rich MIBR,,0 3 -3,,,
artzin MIBR,,0 1 -1,,,
mazin MIBR,,,,,
liazzi MIBR,,0 2 -2,,,
