,eeiu 100T,bang 100T,Boostio 100T,Asuna 100T,Cryocells 100T
trent G2,2 0 +2,1 0 +1,2 0 +2,2 0 +2,0 3 -3
icy G2,0 1 -1,0 3 -3,2 3 -1,2 1 +1,3 0 +3
valyn G2,,,1 0 +1,1 0 +1,
JonahP G2,,2 0 +2,1 1 +0,2 1 +1,
leaf G2,,1 0 +1,,,3 1 +2
