,eeiu 100T,bang 100T,Boostio 100T,Asuna 100T,Cryocells 100T
trent G2,7 5 +2,7 2 +5,8 4 +4,10 5 +5,2 7 -5
icy G2,5 7 -2,0 10 -10,5 4 +1,5 3 +2,7 8 -1
valyn G2,7 5 +2,9 7 +2,4 5 -1,3 3 +0,10 5 +5
JonahP G2,10 2 +8,8 2 +6,7 6 +1,7 7 +0,7 9 -2
leaf G2,3 2 +1,7 8 -1,8 7 +1,10 2 +8,10 6 +4
