,eeiu 100T,bang 100T,Boostio 100T,Asuna 100T,Cryocells 100T
trent G2,2 1 +1,2 0 +2,3 2 +1,6 3 +3,0 3 -3
icy G2,2 4 -2,0 4 -4,1 2 -1,3 1 +2,1 3 -2
valyn G2,3 3 +0,5 2 +3,0 3 -3,1 1 +0,4 3 +1
JonahP G2,7 1 +6,2 1 +1,6 4 +2,4 0 +4,5 1 +4
leaf G2,2 1 +1,4 3 +1,4 5 -1,2 0 +2,7 0 +7
