,eeiu 100T,bang 100T,Boostio 100T,Asuna 100T,Cryocells 100T
trent G2,5 4 +1,5 2 +3,5 2 +3,4 2 +2,2 4 -2
icy G2,3 3 +0,0 6 -6,4 2 +2,2 2 +0,6 5 +1
valyn G2,4 2 +2,4 5 -1,4 2 +2,2 2 +0,6 2 +4
JonahP G2,3 1 +2,6 1 +5,1 2 -1,3 7 -4,2 8 -6
leaf G2,1 1 +0,3 5 -2,4 2 +2,8 2 +6,3 6 -3
