,ANGE1 NAVI,koalanoob NAVI,Ruxic NAVI,hiro NAVI,Shao NAVI
nAts TL,,0 1 -1,1 2 -1,,2 0 +2
keiko TL,1 0 +1,2 0 +2,,,
paTiTek TL,0 1 -1,0 2 -2,1 2 -1,,
kamo TL,2 1 +1,1 1 +0,,2 0 +2,
Serial TL,1 0 +1,0 1 -1,,,
