,Jemkin RRQ,Kushy RRQ,Estrella RRQ,Monyet RRQ,xffero RRQ
gyen DFM,8 11 -3,4 9 -5,3 10 -7,7 8 -1,6 7 -1
Akame DFM,6 15 -9,5 11 -6,6 7 -1,8 7 +1,11 9 +2
Jinboong DFM,8 12 -4,7 8 -1,7 5 +2,6 7 -1,7 9 -2
Meiy DFM,9 15 -6,9 11 -2,11 3 +8,12 11 +1,8 6 +2
Art DFM,8 17 -9,7 9 -2,8 9 -1,5 5 +0,5 6 -1
