,Jemkin RRQ,Kushy RRQ,Estrella RRQ,Monyet RRQ,xffero RRQ
gyen DFM,1 0 +1,,,,
Akame DFM,0 2 -2,,0 1 -1,,
Jinboong DFM,2 2 +0,,1 0 +1,,0 1 -1
Meiy DFM,,0 1 -1,1 0 +1,,1 0 +1
Art DFM,0 1 -1,,0 1 -1,,1 0 +1
