,Jemkin RRQ,Kushy RRQ,Estrella RRQ,Monyet RRQ,xffero RRQ
gyen DFM,0 1 -1,,,,
Akame DFM,1 1 +0,,,,0 1 -1
Jinboong DFM,0 1 -1,,,,
Meiy DFM,0 2 -2,1 0 +1,3 0 +3,1 0 +1,0 1 -1
Art DFM,,,,,
