,Francis NS,Rb NS,Dambi NS,Persia NS,Ivy NS
thyy TLN,,,,,1 0 +1
primmie TLN,3 0 +3,1 0 +1,2 0 +2,,1 0 +1
Crws TLN,,,,,
Killua TLN,,,0 1 -1,,
JitBoyS TLN,,,,,
