,Francis NS,Rb NS,Dambi NS,Persia NS,Ivy NS
thyy TLN,1 0 +1,2 0 +2,,,
primmie TLN,1 0 +1,,0 2 -2,3 0 +3,1 1 +0
Crws TLN,1 0 +1,,1 0 +1,,
Killua TLN,,1 0 +1,0 1 -1,,
JitBoyS TLN,,2 0 +2,,,
