,Francis NS,Rb NS,Dambi NS,Persia NS,Ivy NS
thyy TLN,7 2 +5,4 3 +1,4 1 +3,4 2 +2,6 3 +3
primmie TLN,2 1 +1,3 1 +2,3 5 -2,5 0 +5,2 3 -1
Crws TLN,3 2 +1,1 1 +0,2 0 +2,1 1 +0,2 2 +0
Killua TLN,0 2 -2,4 2 +2,5 3 +2,0 1 -1,2 2 +0
JitBoyS TLN,2 1 +1,2 0 +2,1 2 -1,1 1 +0,1 2 -1
