,Francis NS,Rb NS,Dambi NS,Persia NS,Ivy NS
thyy TLN,2 2 +0,2 3 -1,0 1 -1,0 2 -2,0 1 -1
primmie TLN,1 0 +1,,3 3 +0,3 0 +3,1 1 +0
Crws TLN,4 0 +4,0 1 -1,3 1 +2,,
Killua TLN,0 1 -1,1 1 +0,2 1 +1,2 0 +2,1 0 +1
JitBoyS TLN,,2 0 +2,,2 0 +2,
