,Francis NS,Rb NS,Dambi NS,Persia NS,Ivy NS
thyy TLN,1 2 -1,0 3 -3,0 1 -1,0 2 -2,0 1 -1
primmie TLN,,,3 1 +2,,
Crws TLN,3 0 +3,0 1 -1,2 1 +1,,
Killua TLN,0 1 -1,0 1 -1,2 0 +2,2 0 +2,1 0 +1
JitBoyS TLN,,,,2 0 +2,
