,Francis NS,Rb NS,Dambi NS,Persia NS,Ivy NS
thyy TLN,,,,,1 0 +1
primmie TLN,3 0 +3,1 0 +1,3 0 +3,1 0 +1,1 0 +1
Crws TLN,1 0 +1,,,,
Killua TLN,,,0 1 -1,,
JitBoyS TLN,,,,,
