,CLZ ZETA,Xdll ZETA,SugarZ3ro ZETA,TenTen ZETA,SyouTa ZETA
Killua TLN,5 1 +4,1 4 -3,3 6 -3,6 1 +5,1 6 -5
JitBoyS TLN,5 2 +3,3 7 -4,1 2 -1,3 7 -4,4 1 +3
primmie TLN,0 5 -5,7 3 +4,7 4 +3,6 1 +5,4 3 +1
thyy TLN,1 3 -2,2 1 +1,1 9 -8,1 4 -3,3 4 -1
Crws TLN,4 2 +2,3 4 -1,4 6 -2,3 3 +0,6 3 +3
