,CLZ ZETA,Xdll ZETA,SugarZ3ro ZETA,TenTen ZETA,SyouTa ZETA
Killua TLN,2 0 +2,1 5 -4,2 3 -1,3 3 +0,3 4 -1
JitBoyS TLN,2 3 -1,1 1 +0,2 2 +0,1 5 -4,1 4 -3
primmie TLN,3 3 +0,3 3 +0,3 2 +1,3 2 +1,2 4 -2
thyy TLN,0 2 -2,3 2 +1,2 3 -1,1 5 -4,1 4 -3
Crws TLN,1 2 -1,4 5 -1,0 4 -4,2 2 +0,2 2 +0
