,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Crws TLN,,3 Round 7 CLZ SyouTa Round 12 SyouTa Xdll Round 21 SugarZ3ro SyouTa,1 Round 18 TenTen SugarZ3ro CLZ,1 Round 10 Xdll SyouTa TenTen SugarZ3ro,,1 Round 9 Xdll,,,,,54,3,1
Killua TLN,,3 Round 4 Xdll CLZ Round 5 TenTen CLZ Round 6 SugarZ3ro CLZ,,,,,,,,,53,3,1
JitBoyS TLN,,4 Round 5 SyouTa Xdll Round 6 Xdll SyouTa Round 9 CLZ SyouTa Round 16 CLZ Xdll,1 Round 19 CLZ SyouTa TenTen,,,,,,,,56,0,0
primmie TLN,,3 Round 4 SugarZ3ro SyouTa Round 7 TenTen Xdll Round 15 SugarZ3ro Xdll,2 Round 1 SyouTa SugarZ3ro Xdll Round 2 Xdll SyouTa TenTen,1 Round 3 TenTen Xdll SugarZ3ro SyouTa primmie,,,,,,,64,1,0
thyy TLN,,1 Round 18 SyouTa Xdll,,,,1 Round 19 Xdll,,,,,23,0,0
CLZ ZETA,,3 Round 2 Killua primmie Round 11 JitBoyS primmie Round 21 primmie Crws,,,,1 Round 2 primmie,1 Round 3 primmie Killua,,,,44,5,1
SugarZ3ro ZETA,,6 Round 1 thyy Killua Round 3 Crws thyy Round 13 primmie Crws Round 15 Killua Crws Round 17 Killua thyy Round 20 Crws primmie,1 Round 12 JitBoyS thyy Crws,1 Round 16 primmie Crws Killua JitBoyS,,,1 Round 16 Killua JitBoyS,,,,72,1,1
SyouTa ZETA,,3 Round 4 JitBoyS Killua Round 12 primmie Killua Round 23 Crws Killua,1 Round 22 thyy primmie Killua,,,,,,,,52,0,0
Xdll ZETA,,5 Round 8 primmie Killua Round 9 Killua JitBoyS Round 17 JitBoyS Crws Round 18 JitBoyS Crws Round 22 JitBoyS Crws,,1 Round 19 Crws JitBoyS primmie Killua,,,,,,,72,0,1
TenTen ZETA,,2 Round 14 Crws Killua Round 21 thyy JitBoyS,1 Round 2 Crws thyy JitBoyS,,,,,,,,48,0,1
