,CLZ ZETA,Xdll ZETA,SugarZ3ro ZETA,TenTen ZETA,SyouTa ZETA
Killua TLN,,,,1 0 +1,
JitBoyS TLN,3 0 +3,0 1 -1,,1 3 -2,0 1 -1
primmie TLN,0 1 -1,0 1 -1,0 1 -1,2 0 +2,1 1 +0
thyy TLN,,,,0 1 -1,
Crws TLN,,1 0 +1,,1 3 -2,
