,CLZ ZETA,Xdll ZETA,SugarZ3ro ZETA,TenTen ZETA,SyouTa ZETA
Killua TLN,7 1 +6,2 9 -7,5 9 -4,9 4 +5,4 10 -6
JitBoyS TLN,7 5 +2,4 8 -4,3 4 -1,4 12 -8,5 5 +0
primmie TLN,3 8 -5,10 6 +4,10 6 +4,9 3 +6,6 7 -1
thyy TLN,1 5 -4,5 3 +2,3 12 -9,2 9 -7,4 8 -4
Crws TLN,5 4 +1,7 9 -2,4 10 -6,5 5 +0,8 5 +3
