,CLZ ZETA,Xdll ZETA,SugarZ3ro ZETA,TenTen ZETA,SyouTa ZETA
Killua TLN,1 0 +1,,,1 0 +1,
JitBoyS TLN,3 0 +3,1 1 +0,,1 4 -3,0 2 -2
primmie TLN,0 2 -2,0 1 -1,0 1 -1,2 1 +1,1 2 -1
thyy TLN,,0 2 -2,,0 3 -3,
Crws TLN,,2 1 +1,0 2 -2,2 4 -2,
