,gobera 2G,Askia 2G,PxS 2G,silentzz 2G,lz 2G
cauanzin LOUD,,1 3 -2,1 1 +0,0 1 -1,
dgzin LOUD,0 1 -1,3 3 +0,,1 1 +0,1 0 +1
tuyz LOUD,,,,,
pANcada LOUD,,1 0 +1,,1 0 +1,
v1nny LOUD,0 1 -1,,0 1 -1,0 3 -3,
