,gobera 2G,Askia 2G,PxS 2G,silentzz 2G,lz 2G
cauanzin LOUD,0 1 -1,0 1 -1,,1 0 +1,0 1 -1
dgzin LOUD,1 0 +1,4 0 +4,3 0 +3,1 0 +1,2 2 +0
tuyz LOUD,,0 1 -1,,,0 1 -1
pANcada LOUD,,0 1 -1,1 1 +0,,1 0 +1
v1nny LOUD,,0 2 -2,0 1 -1,,
