,gobera 2G,Askia 2G,PxS 2G,silentzz 2G,lz 2G
cauanzin LOUD,,0 1 -1,,,
dgzin LOUD,2 0 +2,2 0 +2,,1 0 +1,
tuyz LOUD,,0 1 -1,,,
pANcada LOUD,,,,,
v1nny LOUD,,0 1 -1,,,
