,gobera 2G,Askia 2G,PxS 2G,silentzz 2G,lz 2G
cauanzin LOUD,0 1 -1,1 4 -3,1 1 +0,1 1 +0,0 1 -1
dgzin LOUD,1 1 +0,7 3 +4,3 0 +3,2 1 +1,3 2 +1
tuyz LOUD,,0 1 -1,,,0 1 -1
pANcada LOUD,,1 1 +0,1 1 +0,1 0 +1,1 0 +1
v1nny LOUD,0 1 -1,0 2 -2,0 2 -2,0 3 -3,
