,gobera 2G,Askia 2G,PxS 2G,silentzz 2G,lz 2G
cauanzin LOUD,5 3 +2,0 2 -2,4 2 +2,2 3 -1,2 10 -8
dgzin LOUD,5 3 +2,10 3 +7,6 4 +2,3 2 +1,8 7 +1
tuyz LOUD,3 1 +2,1 3 -2,0 5 -5,4 2 +2,2 4 -2
pANcada LOUD,1 6 -5,3 3 +0,5 1 +4,6 5 +1,4 1 +3
v1nny LOUD,1 4 -3,2 7 -5,2 2 +0,2 4 -2,2 3 -1
