,trent G2,valyn G2,jawgemo G2,JonahP G2,leaf G2
bang SEN,3 3 +0,1 3 -2,2 2 +0,1 2 -1,4 3 +1
zekken SEN,1 1 +0,2 2 +0,0 6 -6,3 2 +1,5 3 +2
Zellsis SEN,0 5 -5,5 2 +3,9 1 +8,3 3 +0,3 5 -2
N4RRATE SEN,2 3 -1,1 0 +1,2 5 -3,1 3 -2,0 6 -6
johnqt SEN,4 3 +1,2 3 -1,2 1 +1,1 3 -2,0 4 -4
