,trent G2,valyn G2,jawgemo G2,JonahP G2,leaf G2
bang SEN,1 2 -1,3 6 -3,4 2 +2,3 1 +2,3 3 +0
zekken SEN,5 4 +1,5 5 +0,1 7 -6,1 1 +0,3 2 +1
Zellsis SEN,0 5 -5,3 3 +0,3 2 +1,0 4 -4,3 2 +1
N4RRATE SEN,4 2 +2,0 3 -3,4 3 +1,6 5 +1,5 2 +3
johnqt SEN,3 3 +0,1 3 -2,2 7 -5,1 2 -1,2 0 +2
