,trent G2,valyn G2,jawgemo G2,JonahP G2,leaf G2
bang SEN,,,1 2 -1,1 1 +0,0 3 -3
zekken SEN,2 0 +2,3 1 +2,0 1 -1,1 1 +0,2 1 +1
Zellsis SEN,0 1 -1,,2 2 +0,0 1 -1,2 0 +2
N4RRATE SEN,1 1 +0,0 1 -1,0 3 -3,0 1 -1,1 2 -1
johnqt SEN,,1 0 +1,0 1 -1,,
