,trent G2,valyn G2,jawgemo G2,JonahP G2,leaf G2
bang SEN,4 5 -1,4 9 -5,6 4 +2,4 3 +1,7 6 +1
zekken SEN,6 5 +1,7 7 +0,1 13 -12,4 3 +1,8 5 +3
Zellsis SEN,0 10 -10,8 5 +3,12 3 +9,3 7 -4,6 7 -1
N4RRATE SEN,6 5 +1,1 3 -2,6 8 -2,7 8 -1,5 8 -3
johnqt SEN,7 6 +1,3 6 -3,4 8 -4,2 5 -3,2 4 -2
