,Avez KC,SUYGETSU KC,saadhak KC,pyrolll KC,marteen KC
paTiTek TL,7 4 +3,0 4 -4,0 4 -4,2 3 -1,4 3 +1
trexx TL,6 4 +2,3 3 +0,5 2 +3,1 2 -1,5 4 +1
kamo TL,4 4 +0,4 4 +0,3 2 +1,3 3 +0,2 5 -3
nAts TL,0 3 -3,7 2 +5,2 2 +0,4 1 +3,2 5 -3
keiko TL,4 3 +1,4 5 -1,5 2 +3,8 0 +8,3 6 -3
