,Avez KC,SUYGETSU KC,saadhak KC,pyrolll KC,marteen KC
paTiTek TL,0 1 -1,,1 0 +1,,
trexx TL,1 0 +1,,1 0 +1,,1 1 +0
kamo TL,1 1 +0,1 0 +1,1 0 +1,,1 5 -4
nAts TL,,,1 1 +0,1 0 +1,1 1 +0
keiko TL,0 1 -1,,0 2 -2,,1 1 +0
