,Avez KC,SUYGETSU KC,saadhak KC,pyrolll KC,marteen KC
paTiTek TL,4 3 +1,5 3 +2,5 2 +3,3 3 +0,3 6 -3
trexx TL,5 2 +3,1 8 -7,3 1 +2,6 3 +3,3 4 -1
kamo TL,2 3 -1,3 3 +0,3 5 -2,2 1 +1,2 9 -7
nAts TL,1 6 -5,4 4 +0,6 3 +3,3 1 +2,5 4 +1
keiko TL,8 4 +4,2 6 -4,2 4 -2,3 0 +3,5 3 +2
